population;mutation factor;crossover chance;selection;succession;crossover mode;score
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;934.5290033694716
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;926.5290984005628
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;932.9977346191417
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;911.774406164735
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;929.5268665456967
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;923.641207334943
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;908.5371992219644
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;939.5191757902535
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;939.326222528342
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;897.6066775566018
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;897.3143286186634
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;904.3226920488356
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;927.1492382019679
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;943.6867850849819
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;904.9605907651155
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;895.6965915542522
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;879.8740359832182
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;944.6423694052407
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;937.5674875821741
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;925.1571852658003
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;886.281632182373
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;942.8949712052378
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;951.6406055737541
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;920.4768591175458
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;884.1968675395325
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;926.0825849440174
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;930.1293305409051
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;949.3593476191262
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;869.4110570076889
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;967.0127887799164
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;953.6088855658519
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;924.3175463960081
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;916.4765598158422
