Link name,Modules installed
L1,6
L2,6
L3,2
L4,5
L5,2
L6,5
L7,3
L8,4
L9,5
L10,2
L11,2
L12,2
L13,2
L14,5
L15,4
L16,3
L17,2
L18,4
L19,3
L20,2
L21,1
L22,4
L23,2
L24,3
L25,2
L26,1
L27,2
L28,4
L29,2
L30,2
L31,3
L32,1
L33,1
L34,5
L35,6
L36,1
L37,2
L38,1
L39,3
L40,2
L41,3
L42,2
L43,5
L44,3
L45,2
L46,1
L47,3
L48,1
L49,1
L50,2
L51,1
L52,4
L53,3
L54,2
L55,2
L56,4
L57,3
L58,3
L59,4
L60,4
L61,4
L62,2
L63,2
L64,3
L65,1
L66,3
L67,2
L68,1
L69,4
L70,2
L71,4
L72,2
L73,2
L74,5
L75,2
L76,2
L77,1
L78,1
L79,4
L80,1
L81,1
L82,3
L83,1
L84,4
L85,1
L86,2
L87,4
L88,1

