Demand name,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88
Essen_Duesseldorf,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Koeln,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Dortmund,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Aachen,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Muenster,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Koblenz,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Siegen,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Wesel,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Berlin,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Leipzig,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Dresden,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Erfurt,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Chemnitz,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Schwerin,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Magdeburg,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Hamburg,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Bremen,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Kiel,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Norden,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Hannover,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Bielefeld,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Osnabrueck,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Frankfurt,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Darmstadt,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Mannheim,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Saarbruecken,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Stuttgart,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Karlsruhe,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
Essen_Muenchen,6,6,2,5,2,5,3,4,5,2,2,2,2,5,4,3,2,4,3,2,1,4,2,3,2,1,2,4,2,2,3,1,1,5,6,1,2,1,3,2,3,2,5,3,2,1,3,1,1,2,1,4,3,2,2,4,3,3,4,4,4,2,2,3,1,3,2,1,4,2,4,2,2,5,2,2,1,1,4,1,1,3,1,4,1,2,4,1
