Link name,Demand diff
L1,5.0
L2,20.0
L3,3.0
L4,0.0
L5,2.0
L6,10.0
L7,27.0
L8,1.0
L9,1.0
L10,4.0
L11,7.0
L12,17.0
L13,3.0
L14,2.0
L15,12.0
L16,21.0
L17,12.0
L18,38.0
L19,0.0
L20,12.0
L21,16.0
L22,30.0
L23,18.0
L24,17.0
L25,6.0
L26,18.0
L27,3.0
L28,35.0
L29,18.0
L30,14.0
L31,0.0
L32,24.0
L33,6.0
L34,6.0
L35,6.0
L36,27.0
L37,3.0
L38,32.0
L39,23.0
L40,5.0
L41,5.0
L42,21.0
L43,1.0
L44,5.0
L45,17.0
L46,10.0
L47,16.0
L48,16.0
L49,23.0
L50,10.0
L51,27.0
L52,1.0
L53,2.0
L54,4.0
L55,11.0
L56,31.0
L57,19.0
L58,7.0
L59,26.0
L60,16.0
L61,26.0
L62,25.0
L63,1.0
L64,28.0
L65,9.0
L66,12.0
L67,8.0
L68,11.0
L69,9.0
L70,4.0
L71,5.0
L72,3.0
L73,22.0
L74,3.0
L75,2.0
L76,3.0
L77,25.0
L78,14.0
L79,19.0
L80,24.0
L81,23.0
L82,0.0
L83,0.0
L84,24.0
L85,32.0
L86,38.0
L87,21.0
L88,12.0

